ID ,Year,Week,Colombo,Gampaha,Kalutara,Kandy,Matale,Nuwara Eliya,Galle,Hambantota,Matara,Jaffna,Kilinochchi,Mannar,Vavuniya,Mulative,Batticalo,Ampara,Trincomalee,Kurunagala,Puttalam,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Ratnapura,Kegalle
1,2008,52,15,7,1,11,4,0,0,6,22,0,0,8,0,0,1,0,0,2,1,2,0,1,1,2,16
2,2009,1,44,23,5,16,21,2,0,5,18,1,0,0,0,0,0,1,1,10,5,0,0,1,0,1,25
3,2009,2,39,19,11,42,9,1,2,3,18,1,0,0,0,0,0,0,0,10,2,0,0,1,0,2,21
4,2009,3,57,23,12,28,3,2,1,4,15,0,0,1,0,0,2,3,0,5,2,2,3,4,1,5,15
5,2009,4,53,24,19,32,20,2,2,7,15,0,0,1,2,0,1,11,0,25,0,2,1,3,2,2,14
6,2009,5,29,17,10,21,6,0,3,3,8,0,0,0,0,0,4,14,6,17,1,2,2,2,1,7,17
7,2009,6,45,20,6,38,13,5,0,0,11,0,0,0,0,0,17,9,1,19,2,1,1,2,0,2,8
8,2009,7,47,19,7,32,8,2,8,6,11,0,0,0,0,0,18,13,8,6,2,1,3,3,0,4,24
9,2009,8,34,21,15,21,8,1,6,4,7,0,0,0,0,0,9,2,0,17,3,3,1,0,2,3,22
10,2009,9,28,15,9,24,9,1,0,1,10,0,0,1,0,0,5,3,3,10,2,5,0,1,1,1,22
11,2009,10,26,16,6,22,9,0,3,0,3,0,0,0,0,0,23,14,0,15,10,6,1,2,0,1,9
12,2009,11,27,4,11,29,19,0,2,2,6,1,0,0,0,0,27,2,0,10,6,23,3,1,1,3,11
13,2009,12,25,10,22,38,18,1,2,0,6,0,0,0,0,0,28,0,1,17,2,26,1,0,0,2,27
14,2009,13,28,10,3,23,14,2,2,2,7,0,0,0,0,0,36,1,0,7,5,15,0,2,1,3,5
15,2009,14,23,10,6,21,20,0,3,1,3,0,0,0,0,0,14,2,5,12,1,5,2,0,0,7,13
16,2009,15,20,5,4,5,6,2,0,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1
17,2009,16,31,9,6,9,11,0,1,3,1,0,0,0,0,0,27,3,6,5,1,27,0,4,0,2,21
18,2009,17,57,17,15,73,18,5,2,28,5,0,0,0,0,0,2,9,12,25,2,12,3,2,1,2,44
19,2009,18,75,16,15,54,14,1,3,57,16,0,0,0,0,0,13,0,9,12,2,5,1,6,2,10,24
20,2009,19,78,65,10,46,7,1,5,27,20,0,0,0,0,0,6,2,5,20,5,30,0,3,4,20,42
21,2009,20,94,53,8,80,9,5,12,87,45,0,0,1,0,0,16,2,3,44,8,7,6,1,1,55,100
22,2009,21,88,128,27,90,17,9,8,40,38,0,0,0,2,0,8,9,3,108,9,13,5,9,2,83,112
23,2009,22,158,194,52,217,40,1,21,35,65,0,0,0,0,0,6,17,11,78,15,13,7,6,4,77,118
24,2009,23,110,120,75,154,34,4,17,66,42,0,0,0,0,0,11,9,4,70,31,21,0,12,9,61,128
25,2009,24,209,165,33,181,93,19,22,36,76,1,0,0,0,0,18,5,7,141,28,21,5,11,13,94,122
26,2009,25,166,142,41,111,130,24,49,37,64,0,0,0,3,0,19,18,19,228,41,40,5,36,10,112,250
27,2009,26,288,158,33,183,95,17,32,29,36,0,0,0,1,0,15,28,15,105,41,28,21,18,14,76,107
28,2009,27,153,170,35,55,87,18,34,39,45,0,0,0,0,0,12,15,16,85,47,33,8,9,10,69,83
29,2009,28,161,134,37,158,123,6,20,30,65,0,0,0,0,0,9,12,10,149,46,19,10,7,3,104,135
30,2009,29,203,147,26,139,46,16,63,33,31,0,0,0,1,0,21,17,5,98,21,10,5,7,14,79,76
31,2009,30,163,71,21,141,92,20,16,27,66,0,0,0,0,0,19,4,0,66,14,5,5,8,5,85,100
32,2009,31,110,110,12,103,77,13,25,23,17,1,0,0,0,0,10,8,3,134,28,14,6,8,7,64,37
33,2009,32,106,113,8,87,71,7,33,16,17,0,0,0,2,0,19,2,0,123,21,5,2,2,5,46,65
34,2009,33,94,86,22,99,65,4,27,28,32,0,0,0,2,0,12,5,3,91,26,9,8,19,4,67,65
35,2009,34,78,88,18,90,40,5,15,11,31,0,0,0,2,0,6,4,0,68,13,7,5,3,4,51,70
36,2009,35,61,76,10,32,19,2,9,9,17,0,0,1,0,0,1,7,1,48,12,5,0,4,2,30,29
37,2009,36,28,59,11,30,20,4,11,10,36,0,0,0,7,0,8,7,3,36,1,5,4,3,3,32,44
38,2009,37,58,64,15,39,32,2,22,19,17,0,0,0,11,0,3,9,0,57,6,3,7,5,2,20,44
39,2009,38,51,36,11,66,16,4,7,13,20,0,0,0,11,0,6,2,0,17,9,3,3,7,1,19,18
40,2009,39,53,29,10,28,34,1,8,8,14,0,0,0,16,0,9,14,1,31,2,2,2,7,1,12,24
41,2009,40,80,41,10,57,22,4,13,8,11,0,0,0,26,0,5,2,2,25,6,2,2,8,1,14,9
42,2009,41,72,69,11,22,63,3,8,2,6,0,0,0,17,0,9,3,0,34,10,3,3,4,6,11,14
43,2009,42,68,54,11,33,74,3,10,11,7,0,0,0,18,0,9,12,1,19,3,4,3,1,2,6,12
44,2009,43,54,50,20,45,48,4,7,18,14,1,0,0,21,0,2,6,1,33,12,4,1,3,2,5,17
45,2009,45,94,36,15,21,28,4,11,10,6,5,0,0,15,0,0,4,0,24,13,3,4,7,3,9,24
46,2009,46,88,56,22,23,37,3,15,11,10,5,0,1,43,0,3,8,0,23,4,8,6,8,3,10,11
47,2009,47,64,90,12,26,16,3,4,6,4,7,0,0,56,0,2,12,2,20,10,2,0,7,2,16,22
48,2009,48,38,34,8,24,17,8,11,20,7,1,0,0,49,0,1,14,0,23,5,0,4,1,6,7,10
49,2009,49,85,42,4,45,44,8,6,11,3,5,0,0,79,0,3,12,1,25,5,10,2,3,6,7,8
50,2009,50,48,60,18,36,49,8,5,17,9,16,0,0,143,0,4,18,3,9,23,18,1,7,3,7,17
51,2009,51,24,34,7,18,37,9,9,7,4,10,0,0,154,0,10,9,7,16,7,14,2,5,1,5,11
52,2009,52,124,38,13,50,9,6,7,5,6,23,0,4,192,0,22,1,10,47,85,28,1,4,4,2,8
53,2009,53,126,108,5,14,35,6,12,7,10,112,0,5,209,0,49,37,12,55,18,31,0,17,2,9,24
54,2010,1,176,153,32,68,25,9,10,11,14,22,0,2,174,0,52,38,16,36,11,64,7,19,13,16,29
55,2010,2,137,152,37,32,12,12,9,11,9,184,0,5,82,0,54,36,81,60,41,43,3,6,5,16,26
56,2010,3,128,53,8,22,7,3,9,6,6,71,0,12,55,0,17,11,6,30,33,24,7,18,6,3,4
57,2010,4,97,71,24,25,5,3,2,9,4,47,0,0,2,0,50,14,25,23,11,36,10,4,5,15,16
58,2010,5,81,89,31,31,44,2,15,22,9,329,0,5,30,0,77,61,4,44,84,66,2,14,11,20,23
59,2010,6,145,181,34,51,12,4,24,27,11,168,0,6,24,0,56,20,57,30,32,112,16,14,6,11,14
60,2010,7,136,86,22,32,28,4,19,40,15,83,0,5,22,0,57,38,12,15,23,35,11,13,9,32,33
61,2010,8,72,118,35,24,20,0,19,35,8,34,0,7,13,0,78,18,19,34,9,39,13,10,7,18,33
62,2010,9,92,47,21,14,15,5,11,21,13,47,0,0,11,0,14,17,71,34,7,21,2,4,14,55,13
63,2010,10,65,66,19,35,9,1,23,24,14,15,0,6,4,0,38,14,11,14,3,34,7,6,8,16,24
64,2010,11,65,73,16,12,4,4,15,18,4,12,0,5,19,0,59,23,24,23,28,19,12,17,18,38,16
65,2010,12,43,23,3,10,2,5,13,8,6,3,0,3,5,0,26,13,9,11,2,5,9,6,3,17,1
66,2010,13,16,12,14,5,5,1,20,2,2,0,0,6,1,0,21,15,9,4,1,1,0,1,3,16,0
67,2010,14,8,7,4,6,0,1,12,2,3,14,0,0,0,0,3,7,1,2,4,9,5,6,8,29,3
68,2010,15,25,16,23,1,1,0,3,2,1,23,0,3,5,0,44,5,20,5,1,4,4,9,4,12,2
69,2010,16,42,29,30,29,21,0,42,6,11,30,0,4,2,0,37,8,5,18,6,15,8,13,20,91,16
70,2010,17,47,40,18,18,7,0,27,14,2,10,0,0,2,0,25,13,14,19,6,8,10,3,9,23,5
71,2010,18,58,32,22,21,7,1,9,6,8,13,0,2,3,0,14,6,5,15,12,3,23,12,15,41,12
72,2010,19,44,7,9,24,1,4,15,6,6,26,0,3,0,0,7,3,11,28,11,8,5,15,15,27,6
73,2010,20,61,7,23,18,13,1,30,3,8,11,0,4,1,0,10,0,3,20,5,2,0,2,3,46,7
74,2010,21,85,24,64,38,10,6,19,5,5,10,0,0,2,0,12,3,3,19,7,5,18,10,8,56,5
75,2010,22,152,99,59,28,13,2,30,17,13,46,0,7,6,0,15,4,6,42,33,7,10,22,17,82,22
76,2010,23,49,33,45,31,7,0,25,23,17,16,1,3,1,0,17,0,3,21,29,10,20,10,27,96,32
77,2010,24,145,35,10,5,2,3,39,15,12,60,0,8,5,0,0,2,8,26,6,9,10,4,2,69,16
78,2010,25,213,35,62,42,6,3,23,16,13,73,1,37,6,0,20,4,17,22,12,8,12,19,24,56,12
79,2010,26,308,85,22,69,20,8,70,30,19,66,1,30,5,0,16,1,31,37,33,13,18,37,38,77,39
80,2010,27,334,100,58,46,13,11,30,15,17,29,0,19,7,0,8,3,11,43,7,11,2,37,53,64,12
81,2010,28,257,93,35,38,13,6,29,24,39,32,0,16,2,0,9,5,11,82,26,10,18,47,58,63,23
82,2010,29,158,83,52,28,18,12,33,36,31,45,1,6,6,0,11,9,23,61,11,14,7,47,25,67,35
83,2010,30,223,63,66,65,18,6,36,35,33,29,2,22,5,0,11,13,8,46,26,21,5,63,50,56,32
84,2010,31,223,90,35,69,8,13,50,7,45,28,2,9,4,0,9,8,7,91,28,29,21,0,95,121,30
85,2010,32,270,81,33,57,8,15,30,28,24,13,9,84,6,2,8,1,5,35,12,4,1,112,39,91,9
86,2010,33,171,64,49,33,9,4,34,25,21,18,5,34,5,0,4,5,3,40,9,7,5,38,12,45,27
87,2010,34,134,67,33,38,9,7,30,23,14,26,2,21,2,0,2,5,7,33,9,10,3,42,34,32,14
88,2010,35,111,47,26,37,5,13,45,13,22,9,2,8,5,0,2,5,3,21,8,9,2,44,14,63,18
89,2010,36,50,29,16,15,8,0,13,13,13,8,7,12,1,2,2,3,5,21,5,15,10,18,10,21,10
90,2010,37,68,34,13,19,2,4,26,15,13,4,0,22,1,4,0,4,1,19,12,19,2,10,6,34,11
91,2010,38,25,23,12,3,2,1,9,8,6,8,2,12,4,1,0,1,4,7,8,6,3,8,3,25,4
92,2010,39,56,23,13,14,3,5,11,7,9,9,1,7,2,0,3,1,4,7,6,4,0,9,9,28,7
93,2010,40,51,18,12,19,2,8,11,6,1,2,1,5,1,0,2,3,2,15,3,8,3,9,12,21,9
94,2010,41,60,5,12,15,5,2,10,2,2,5,0,2,0,1,0,2,3,7,5,0,2,5,8,16,2
95,2010,42,49,12,7,7,3,1,4,6,7,18,0,9,0,0,1,2,0,4,3,6,0,8,6,1,3
96,2010,43,25,18,6,6,6,3,4,3,2,7,0,2,0,0,0,4,2,4,1,6,2,4,6,3,1
97,2010,44,22,17,2,9,7,1,4,1,5,4,1,3,1,0,1,0,2,1,4,2,1,9,9,5,3
98,2010,45,26,13,3,4,7,0,6,0,3,23,2,1,1,0,3,6,1,6,1,2,1,3,12,3,3
99,2010,46,19,9,3,2,0,4,0,2,2,9,0,5,1,0,2,15,2,4,4,2,1,4,9,4,6
100,2010,47,21,21,5,5,5,1,0,2,5,28,1,4,0,1,7,2,4,7,2,11,2,3,2,8,6
101,2010,48,14,16,4,5,13,0,1,0,5,4,1,1,0,0,12,0,9,6,4,9,0,6,1,5,1
102,2010,49,35,11,5,1,8,1,1,4,0,20,1,0,0,0,4,6,2,5,1,7,2,8,4,6,9
103,2010,50,23,7,2,2,8,0,1,1,0,15,1,1,2,0,5,4,3,4,8,5,2,8,3,2,1
104,2010,51,18,12,2,3,7,0,2,1,2,15,1,1,2,0,2,1,2,2,4,4,1,1,2,7,2
105,2010,52,38,12,3,1,6,1,2,2,2,9,1,2,0,0,3,2,2,5,16,8,2,5,4,3,7
106,2011,1,77,16,1,4,1,0,3,0,2,1,0,0,0,0,7,4,3,5,17,7,0,2,1,4,5
107,2011,2,72,29,5,3,1,0,0,3,1,26,0,2,3,2,2,1,2,5,3,2,1,1,0,4,1
108,2011,3,60,29,8,7,2,1,0,3,4,9,0,1,5,0,2,1,0,7,10,4,1,5,2,4,2
109,2011,4,72,20,27,4,5,2,2,5,7,6,1,2,2,0,11,1,1,4,3,5,1,1,5,8,4
110,2011,5,77,16,13,7,2,4,4,2,3,10,0,1,1,0,5,0,1,14,31,1,1,6,3,5,5
111,2011,6,82,23,7,4,4,0,4,2,4,10,3,1,1,0,7,2,0,11,9,0,9,5,0,8,6
112,2011,7,78,21,1,2,4,3,0,1,2,9,1,1,0,1,9,2,6,2,5,6,3,4,6,8,6
113,2011,8,101,36,7,10,7,0,7,2,6,1,0,0,0,0,12,2,8,18,13,6,2,0,1,7,0
114,2011,9,77,26,18,6,3,3,6,8,8,7,0,1,2,0,21,2,5,11,3,4,3,1,1,5,2
115,2011,10,73,36,11,12,0,1,3,4,10,10,4,2,10,0,35,2,6,18,18,3,4,1,4,6,7
116,2011,11,69,31,13,5,4,5,3,4,4,3,0,1,2,0,18,3,0,11,7,5,7,4,2,7,7
117,2011,12,81,25,10,4,7,0,10,6,7,1,0,0,1,0,19,0,7,18,6,1,1,4,8,7,9
118,2011,13,99,18,2,13,2,5,9,4,5,0,0,0,2,0,4,1,3,4,1,1,0,0,1,12,2
119,2011,14,54,25,11,0,3,5,4,6,13,2,0,1,0,0,11,3,1,12,3,5,3,3,7,6,6
120,2011,15,46,8,3,3,2,2,5,0,1,0,2,0,0,0,22,0,3,1,0,2,1,3,2,8,3
121,2011,16,116,40,29,18,5,2,6,26,12,3,0,1,2,0,33,0,4,14,1,4,2,6,7,21,14
122,2011,17,138,58,33,19,6,3,18,10,14,3,0,0,0,1,41,6,7,12,7,2,1,15,9,25,14
123,2011,18,157,32,17,13,8,5,17,35,21,2,0,0,1,0,37,3,0,24,2,7,6,9,3,21,13
124,2011,19,112,62,19,8,2,1,14,6,17,1,0,1,2,0,38,0,3,10,4,4,11,2,3,16,11
125,2011,20,108,39,12,6,7,1,12,7,6,2,0,1,2,0,21,1,3,14,6,6,7,2,4,4,4
126,2011,21,250,55,60,17,16,6,14,18,13,5,0,0,2,1,31,3,4,27,6,9,7,6,4,13,12
127,2011,22,235,54,33,21,17,4,22,13,12,5,2,0,2,0,39,11,3,25,10,4,13,10,5,17,19
128,2011,23,99,93,27,18,11,5,10,13,16,1,0,0,3,0,17,5,4,25,6,8,10,17,4,33,28
129,2011,24,384,80,37,14,9,1,24,9,9,5,0,1,1,3,23,5,1,20,7,2,2,11,0,16,6
130,2011,25,306,91,46,28,15,5,28,9,10,4,0,1,2,3,19,1,4,24,4,15,6,11,7,11,42
131,2011,26,475,100,30,38,19,3,51,14,16,9,0,0,0,0,10,5,0,32,10,10,9,41,9,15,13
132,2011,27,301,57,34,49,11,8,14,13,19,8,0,0,3,0,8,2,6,25,3,1,3,73,3,22,29
133,2011,28,161,169,25,41,11,7,11,10,18,6,0,1,2,1,9,3,8,29,10,5,2,25,6,20,25
134,2011,29,341,201,31,52,8,15,40,5,15,4,0,0,3,0,10,4,3,20,6,5,4,28,7,25,24
135,2011,30,277,122,24,30,13,12,25,5,12,5,1,1,0,0,9,6,3,38,8,5,3,24,7,20,21
136,2011,31,130,107,25,25,4,1,31,1,8,5,0,0,1,0,5,0,0,28,2,5,5,13,2,20,25
137,2011,32,149,100,19,18,2,3,6,7,2,9,3,0,0,0,2,2,2,17,4,2,3,13,3,12,17
138,2011,33,135,63,15,19,8,1,22,6,4,12,1,1,1,0,0,2,1,14,8,4,5,15,5,14,14
